user,item,recommended
1,5,1.2616502265447338
1,7,0.9999999541742451
1,11,0.9865204657557197
1,13,0.7379357144405589
1,15,0.06274606276377824
1,16,1.0651037353132833
1,19,0.9999999251668579
1,20,0.9999998412549466
1,25,0.14285713674831477
1,26,1.4415184176601614
1,30,0.7785345093602832
1,31,1.353889327777879
1,35,1.9999999864582885
1,37,1.8385781344469392
1,54,0.9999999508969363
1,55,0.08117657531629517
1,56,1.9999995510012143
1,59,0.5857863831542108
1,60,1.9999998004449593
1,62,0.460429683297055
1,65,0.6794918742504465
1,68,1.9999999017938725
1,72,1.999999700667454
1,73,1.5435460249086779
1,75,1.228094282086313
1,76,0.390932997700945
1,84,0.4296135221230856
1,85,1.0186620558330917
1,89,1.9999998503337157
1,91,1.34091799675232
1,92,0.4541634172452474
1,94,0.23016203707969776
1,98,0.5075772259188542
1,99,0.49999998281534186
1,100,1.9999999272752553
2,1,0.8832878213983939
2,7,0.9999999100000081
2,9,0.9999999285857208
2,29,0.9999999712771876
2,31,0.9999999100000081
2,36,1.9999999425543753
2,40,0.22078899980638453
2,42,0.9140118660536241
2,46,0.9999999285857208
2,68,0.9999999664589815
2,77,0.9999999425543769
2,81,0.9999999285857208
2,84,0.9999999100000081
2,85,1.9999998200000162
2,86,0.9999999712771876
2,88,0.8999999919000001
2,91,1.9999998200000162
2,99,0.9999999100000081
3,2,0.14835622286428668
3,6,0.9999999916114616
3,7,0.9999999116823992
3,8,0.9548076106984003
3,9,2.5553589194736976
3,12,1.9999995554778833
3,13,0.6369997849714668
3,15,0.9999999731258082
3,26,1.999999809212178
3,30,0.999999970560798
3,31,0.9589996717386279
3,33,1.2282782803408259
3,37,0.36864537650095147
3,38,1.420204069693265
3,39,1.2665204459819326
3,46,0.11920210875690816
3,48,0.24922116213619627
3,52,1.2869504687040192
3,54,0.5529115054829203
3,55,0.9999999415833962
3,56,0.8606122774800146
3,64,0.9999997719649669
3,68,0.9999997207152771
3,74,0.9999998233648139
3,79,0.5204071983113194
3,81,0.6956238862923739
3,83,0.19820822135238808
3,84,0.3876736366170906
3,85,0.1295148640437426
3,91,1.9999998233647984
3,97,0.20158632161700968
3,99,0.37821347415529266
4,6,0.9999998233648139
4,7,0.999999955000002
4,8,0.053580455224915974
4,9,1.356364114941901
4,11,1.8530362226521897
4,12,1.9999999245016586
4,31,0.8239670473846608
4,37,0.287169105639064
4,39,1.4304919010282262
4,53,0.9999999808514581
4,58,0.45832166699316773
4,60,1.9999999346802757
4,66,0.9999999593798097
4,68,0.6568253397048858
4,74,1.3912160258019737
4,75,1.0966011401449003
4,76,0.9999999844386757
4,84,2.189613288850813
4,85,0.6553060949331115
4,87,0.7827422679470324
4,91,1.2972386335976458
4,92,0.9999999617029172
4,94,0.48351796007748643
4,95,0.3312232845738418
5,7,0.9999998781394388
5,15,0.9999997850581935
5,20,0.9008251932300786
5,21,2.9999995495003455
5,22,0.4448249197544691
5,25,0.9999997346700872
5,26,1.444824897624709
5,27,0.8952003672560727
5,30,0.15396771783353563
5,31,0.9999998781394388
5,33,0.7325210959115946
5,35,0.9999999530958447
5,38,0.9999999709325108
5,40,0.36241015519926667
5,52,1.6208488974815611
5,54,1.99999986015883
5,59,1.4760133783201395
5,70,1.99999986015883
5,75,0.3472615006275472
5,81,0.9999999530958447
5,89,1.1306096066648257
5,90,0.572182547207471
5,91,0.09375583258548872
5,93,1.9999999800000001
5,94,0.20312101460110038
5,96,1.3391489055894115
5,97,1.999999948619071
5,98,0.9999999910521841
5,99,1.9442259024719366
6,7,0.7711854069167406
6,8,0.3375397977035057
6,10,1.9674980642818398
6,11,1.086628468654321
6,13,0.13906483661696162
6,14,0.999999949223329
6,15,0.4958612089420601
6,16,0.22244094719702273
6,30,1.1303061218603283
6,31,1.0905667386725513
6,33,1.9999996713665193
6,35,1.9999999083484903
6,37,1.1336903706647257
6,39,0.5969263002408917
6,45,0.3471260209727155
6,52,0.8805473928010736
6,54,0.999999973699135
6,56,0.9999999400000036
6,59,0.8294591074396362
6,60,1.5857863693646121
6,64,0.632101104130066
6,65,0.9999998126500951
6,66,0.9999998781394388
6,68,1.4945978571531693
6,71,0.3769426019577998
6,73,0.14436223109011287
6,74,0.6997046137158454
6,75,1.3738224201124425
6,78,0.9188233232536653
6,79,0.9282032123682954
